pair_mock,area,p_obs,p_exp,energy_mock
A<N.2>	A<O.co2>,98736.472171612,0.0030672433463278374,0.0034721358658974027,0.12399070249163537
A<N.2>	A<S.3>,4783.477854310911,0.00014859848947651705,0.00031688655913904556,0.7572958850236065
A<N.3>	A<N.3>,87899.17039913518,0.002730583133311502,0.013351591256602199,1.5871203846613442
A<N.3>	A<N.am>,119117.00164821147,0.0037003634290778786,0.007407623350407028,0.6940786135221239
A<N.3>	A<N.ar>,8671.16187543631,0.0002693691903548736,0.0006691409278962863,0.9099117989998068
A<N.3>	A<N.pl3>,149871.40261371122,0.004655747287311867,0.013504722264814101,1.0649369894971739
A<N.3>	A<None>,159.77134937573572,4.963288615930958e-06,7.2322239656067115e-06,0.376478042869264
A<N.3>	A<O.2>,1045930.6996082136,0.03249178250482085,0.03552766423216863,0.08932445579128019
A<N.3>	A<O.3>,287933.81765531027,0.008944648993038906,0.013531085476170344,0.41393419071011134
A<N.3>	A<O.co2>,686923.384290661,0.021339239022440063,0.018691539496323763,-0.1324765974282929
A<N.3>	A<S.3>,22795.825175672784,0.0007081511173764414,0.001705894545826113,0.8791873988999134
A<N.am>	A<N.am>,57821.99814914172,0.0017962373497209785,0.004109838493921949,0.8276896160718872
A<N.am>	A<N.ar>,4161.829682613112,0.00012928702152085764,0.00037124743163078087,1.0548338661221834
A<N.am>	A<N.pl3>,94056.5712275574,0.0029218624681537045,0.007492582274800474,0.9416922565911581
A<N.am>	A<None>,115.74159059631992,3.5955064612084867e-06,4.012524806472794e-06,0.1097358101503244
A<N.am>	A<O.2>,513452.6940652269,0.015950381099178762,0.01971117525197574,0.21170302426923393
A<N.am>	A<O.3>,159642.91436769193,0.004959298789120323,0.007507208901416058,0.41459938817196385
A<N.am>	A<O.co2>,217025.2944129617,0.006741879425426598,0.010370290834027473,0.4306063350033689
A<N.am>	A<S.3>,10925.896207673084,0.00033941239451422346,0.0009464508033635953,1.025503120837615
A<N.ar>	A<N.ar>,1146.4542862891635,3.561454246995562e-05,3.3535297237660446e-05,-0.06015551777511055
A<N.ar>	A<N.pl3>,8035.718267403201,0.000249629167890647,0.0006768153857908792,0.9974220529720799
A<N.ar>	A<None>,3.810165495743476,1.1836259193983194e-07,3.6245695079279947e-07,1.1191529847347823
A<N.ar>	A<O.2>,42332.10046934962,0.0013150444880693807,0.0017805378964507739,0.3030450113824449
A<N.ar>	A<O.3>,12708.77510892282,0.0003947974343773229,0.0006781366293318329,0.5409759768263487
A<N.ar>	A<O.co2>,18788.214873851677,0.0005836549128577035,0.0009367628054218237,0.4731202020974785
A<N.ar>	A<S.3>,1432.7539755758398,4.450842735065085e-05,8.54942184305447e-05,0.6527702030523188
A<N.pl3>	A<N.pl3>,140766.07761226766,0.004372890842144485,0.013659609551002564,1.1390189600110217
A<N.pl3>	A<None>,47.7087344782571,1.4820693424797952e-06,7.315171213330462e-06,1.5965111244082597
A<N.pl3>	A<O.2>,821471.3497109902,0.025518964534408547,0.035935135292263866,0.3422936328466212
A<N.pl3>	A<O.3>,217580.62999618915,0.006759130896288074,0.013686275125205084,0.7054991988511433
A<N.pl3>	A<O.co2>,817171.1774641954,0.025385379908363568,0.01890591501405011,-0.294698577338638
A<N.pl3>	A<S.3>,16847.01096427767,0.000523351514887826,0.001725459655833234,1.1929954102244635
A<None>	A<None>,209.98987132229377,6.523324374908429e-06,3.917515334573461e-09,-7.417681788813833
A<None>	A<O.2>,336.718568718034,1.046014473446384e-05,1.9244449576365113e-05,0.6096503899744454
A<None>	A<O.3>,174.2763953953621,5.413887112244964e-06,7.329451507365578e-06,0.30293334474242417
A<None>	A<O.co2>,149.84136473332262,4.654814162127897e-06,1.0124740736992797e-05,0.7770800187163879
A<None>	A<S.3>,11.431496448341536,3.5511883955913703e-07,9.240405267065594e-07,0.9563034379743647
A<O.2>	A<O.2>,766395.8825074024,0.023808048024929782,0.09453666619471777,1.378964085482071
A<O.2>	A<O.3>,622668.7420167059,0.019343171919263488,0.03600528598090805,0.6213262756680353
A<O.2>	A<O.co2>,568085.2277457007,0.017647537901917396,0.049736898504838235,1.03615080427956
A<O.2>	A<S.3>,59568.18608725844,0.0018504825867324578,0.0045392678276927325,0.8973192648483003
A<O.3>	A<O.3>,168439.38884925234,0.005232560809033428,0.013712992754544677,0.9634429629720322
A<O.3>	A<O.co2>,380731.0400293671,0.011827389854894064,0.018942822150948228,0.4710070656077821
A<O.3>	A<S.3>,18933.37327546316,0.0005881642510152644,0.0017288280077846043,1.0781927584175643
A<O.co2>	A<O.co2>,246021.02908960244,0.007642630407335633,0.026167191762245585,1.2307645651891954
A<O.co2>	A<S.3>,14802.310902552968,0.00045983301436189393,0.0023881644267760927,1.6474169162544516
A<S.3>	A<S.3>,12739.314945169544,0.00039574615279378505,0.0002179572565959344,-0.5964740045056001
